sf,lf_1,source_1,cui_1,semtypes_1,semgroups_1,lf_2,source_2,cui_2,semtypes_2,semgroups_2,is_train
HFN,healthy foods north,pubmed,C0282679|C1709269,Food|Spatial Concept,Concepts & Ideas|Objects,high flow nebulizer,pubmed,C0027524|C0205250|C0806140|C1299351|C1709156|C2700149|C3887512|C3889660|C4321237|C4522209,Finding|Idea or Concept|Intellectual Product|Manufactured Object|Medical Device|Natural Phenomenon or Process|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Devices|Disorders|Objects|Phenomena,0
IVPD,in vivo phage display,pubmed,C1515655|C3494191,Molecular Biology Research Technique|Spatial Concept,Concepts & Ideas|Procedures,isovolumic pressure decay,pubmed,C0033095|C0460139|C1265875|C1306345|C2700592|C4284008,Acquired Abnormality|Finding|Functional Concept|Phenomenon or Process|Quantitative Concept,Concepts & Ideas|Disorders|Phenomena,0
TTT,table testing,pubmed,C0039224|C0039593|C0392366|C1706074,Functional Concept|Intellectual Product|Manufactured Object,Concepts & Ideas|Objects,that type ii trauma,pubmed,C0043251|C0441730|C1510467|C3263723|C3714660|C4049136,Biomedical Occupation or Discipline|Classification|Injury or Poisoning|Qualitative Concept,Concepts & Ideas|Disorders|Occupations,0
TAK,cdk9 gene,umls,C1413290,Gene or Genome,Genes & Molecular Sequences,tests for athletes with kneeinjuries,pubmed,C0022885|C0238703|C0392366|C3714533,Eukaryote|Intellectual Product|Laboratory Procedure|Professional or Occupational Group,Concepts & Ideas|Living Beings|Procedures,0
MSII,modified speech intelligibility index,pubmed,C0037824|C0392747|C0600653|C0918012|C1552854|C1637833|C2986546|C3889737,Diagnostic Procedure|Functional Concept|Idea or Concept|Intellectual Product|Qualitative Concept|Quantitative Concept|Temporal Concept,Concepts & Ideas|Procedures,mouse type ii collagen,pubmed,C0009331|C0025914|C0025929|C0026809|C1413580,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Gene or Genome|Mammal",Chemicals & Drugs|Genes & Molecular Sequences|Living Beings,0
HERR,hernia readmission risk,pubmed,C0019270|C0035647|C1548168|C4489276|C4552904,Anatomical Abnormality|Conceptual Entity|Health Care Activity|Idea or Concept,Concepts & Ideas|Disorders|Procedures,health educationrisk reduction,pubmed,C0018684|C0301630|C0392756|C1293152|C4551656,Idea or Concept|Natural Phenomenon or Process|Qualitative Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Phenomena|Procedures,0
DAPT,double antiplatelet therapy,pubmed,C0205173|C1096021|C1705764|C1705765,Activity|Functional Concept|Qualitative Concept|Therapeutic or Preventive Procedure,Activities & Behaviors|Concepts & Ideas|Procedures,dual anti platelet treatment,pubmed,C0005821|C0039798|C0087111|C0205173|C1522326|C1533734|C1554184|C1705169|C3538994|C3887704,Cell|Conceptual Entity|Functional Concept|Health Care Activity|Intellectual Product|Research Activity|Therapeutic or Preventive Procedure,Anatomy|Concepts & Ideas|Procedures,0
SLP,second litter present,pubmed,C0150312|C0205436|C0449450|C0457385|C0565930|C1299950|C1561503|C1705190,Finding|Idea or Concept|Manufactured Object|Qualitative Concept|Quantitative Concept|Temporal Concept,Concepts & Ideas|Disorders|Objects,school lunch program,pubmed,C0036375|C0376691|C1709697|C2697949|C2728259|C3484370|C4552032,Conceptual Entity|Daily or Recreational Activity|Functional Concept|Intellectual Product|Manufactured Object|Organic Chemical|Organization|Pharmacologic Substance|Temporal Concept,Activities & Behaviors|Chemicals & Drugs|Concepts & Ideas|Objects|Organizations,0
IVPG,intraventricular pressure gradients,pubmed,C0206177|C0812409,Finding|Quantitative Concept,Concepts & Ideas|Disorders,intravenous pyogenic granuloma|intravenous pyogenic granulomas,pubmed,C0085653|C0348016,Neoplastic Process|Spatial Concept,Concepts & Ideas|Disorders,0
HYE,hysterectomy status,pubmed,C0020699|C0449438|C1548863,Finding|Qualitative Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Disorders|Procedures,hyperglycemic  100 mgday vitamin e,pubmed,C0042874|C3714803|C3817553,Organic Chemical|Pharmacologic Substance|Quantitative Concept|Vitamin,Chemicals & Drugs|Concepts & Ideas,0
LVESD,lv mass wall thickness enddiastolic diameter endsystolic diameter,pubmed,C0442709|C0455827|C0455828|C0489485|C0577559|C0577573|C1096155|C1301886|C1306372|C3152252|C3539882|C4068252|C4283905,Clinical Attribute|Disease or Syndrome|Finding|Intellectual Product|Laboratory or Test Result|Quantitative Concept|Sign or Symptom|Temporal Concept,Concepts & Ideas|Disorders|Phenomena|Physiology,lv endsystolic dimensions|lv endsystolic dimension,pubmed,C0023128|C0439534|C0489485|C0731033|C1881413,Chemical Viewed Structurally|Geographic Area|Organic Chemical|Pharmacologic Substance|Quantitative Concept|Temporal Concept|Vitamin,Chemicals & Drugs|Concepts & Ideas|Geographic Areas,0
FDP,frequencydoubling technology perimetry,pubmed,C0031061|C0039421,Diagnostic Procedure|Occupation or Discipline,Occupations|Procedures,fracture definitely present,pubmed,C0016658|C0150312|C0449450|C3899394,Finding|Idea or Concept|Injury or Poisoning|Intellectual Product,Concepts & Ideas|Disorders,0
ALIVE,azimilide postinfarct survival evaluation,pubmed,C0038952|C0220825|C0220921|C0252416|C1261322,Activity|Functional Concept|Health Care Activity|Organic Chemical|Pharmacologic Substance,Activities & Behaviors|Chemicals & Drugs|Concepts & Ideas|Procedures,aids link to intravenous exposure,pubmed,C0001175|C0332157|C0348016|C1517892|C1704666,Disease or Syndrome|Intellectual Product|Qualitative Concept|Spatial Concept,Concepts & Ideas|Disorders,0
JGA,juxtaglomerular apparatus|juxtaglomerular apparatuses|juxtaglomerular complex,pubmed,C0022445,"Body Part, Organ, or Organ Component",Anatomy,juxtoglomerular apparatus,pubmed,C0243111|C1947951,Anatomical Structure|Manufactured Object,Anatomy|Objects,0
WHS,whv surface,pubmed,C0205148|C0206407,Spatial Concept|Virus,Concepts & Ideas|Living Beings,whites,pubmed,C0007457|C0043157,Population Group,Living Beings,0
RPAC,region fragment of pac,pubmed,C0017446|C0205147|C0332255|C0486805|C1708096|C4082832,Body Substance|Finding|Functional Concept|Geographic Area|Qualitative Concept|Spatial Concept,Anatomy|Concepts & Ideas|Disorders|Geographic Areas,retrograde popliteal artery catheterization,pubmed,C0007430|C0007431|C0032649|C0439784|C0442037|C0589500,"Body Location or Region|Body Part, Organ, or Organ Component|Spatial Concept|Therapeutic or Preventive Procedure",Anatomy|Concepts & Ideas|Procedures,0
IVIS,importance value indices,pubmed,C1522609|C3898777|C4033634|C4084912,Finding|Intellectual Product|Qualitative Concept|Quantitative Concept,Concepts & Ideas|Disorders,international veterinary immunology symposium,pubmed,C0086047|C1512888|C3825532,Human-caused Phenomenon or Process|Idea or Concept|Occupation or Discipline,Concepts & Ideas|Occupations|Phenomena,0
COT,cornus officinalis fruits,pubmed,C0016767|C1001048|C1509510,Food|Plant,Living Beings|Objects,cost of transport,"wikipedia,pubmed",C0005528|C0010186|C0220812|C1317949|C3495449|C4050363,Cell Function|Functional Concept|Intellectual Product|Manufactured Object|Medical Device|Quantitative Concept,Concepts & Ideas|Devices|Objects|Physiology,0
STR,signaltoten ratio,pubmed,C0456603|C1547037,Intellectual Product|Quantitative Concept,Concepts & Ideas,streptavidin,pubmed,C0075278,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Indicator, Reagent, or Diagnostic Aid",Chemicals & Drugs,1
HEAL,healing excellence with advanced learning,pubmed,C0013621|C0023185|C0043240|C0205179|C0205249|C1548784|C1961136,Educational Activity|Functional Concept|Mental Process|Organism Function|Qualitative Concept,Concepts & Ideas|Physiology|Procedures,hydrocoil for endovascular aneurysm occlusion,pubmed,C0001168|C0002940|C0011382|C0028778|C0441597|C0524425|C1110554|C1947917,Acquired Abnormality|Anatomical Abnormality|Body Location or Region|Functional Concept|Organ or Tissue Function|Pathologic Function,Anatomy|Concepts & Ideas|Disorders|Physiology,1
DCO,dcbiased optical,pubmed,C0042789|C2707266|C4085584,Clinical Attribute|Health Care Related Organization|Organism Function,Organizations|Physiology,doping control officer,pubmed,C0013039|C0243148|C1550141|C1882979|C2587213|C3274648|C4553389,Activity|Conceptual Entity|Functional Concept|Qualitative Concept|Substance,Activities & Behaviors|Concepts & Ideas|Objects,1
DRCA,discontinuous rolling cycle amplification,pubmed,C0326180|C0439599|C0443239|C1211818|C1444662|C1511572|C1517480|C1521871|C1705759,Bird|Cell or Molecular Dysfunction|Finding|Molecular Biology Research Technique|Phenomenon or Process|Qualitative Concept|Temporal Concept,Concepts & Ideas|Disorders|Living Beings|Phenomena|Procedures,decaffeinated coffee with regular amounts of chlorogenic acid,pubmed,C0008240|C0205272|C0681565|C1265611,Biologically Active Substance|Food|Organic Chemical|Qualitative Concept|Quantitative Concept,Chemicals & Drugs|Concepts & Ideas|Objects,1
TAM,triactinomyxon,pubmed,C1091563,Eukaryote,Living Beings,tyrosinecontaining activation motif|tyrosinecontaining activation motifs|tyrosinebased activation motif,pubmed,C1514562|C1879547|C4552596,Activity|Amino Acid Sequence|Functional Concept,Activities & Behaviors|Concepts & Ideas|Genes & Molecular Sequences,1
BASED,base of information types evidence that are narrowly applied,pubmed,C0002055|C0178499|C0332307|C0332463|C0333164|C1533716|C1837463|C1880279|C3887511|C4048755,Biomedical or Dental Material|Chemical Viewed Functionally|Finding|Functional Concept|Idea or Concept|Inorganic Chemical|Qualitative Concept|Spatial Concept,Chemicals & Drugs|Concepts & Ideas|Disorders,base  general qualifier,umls,C1705938,Idea or Concept,Concepts & Ideas,1
AIP,autoimmune chronic pancreatitis,pubmed,C0149521|C0205191|C0238339|C0443146|C2609129|C4551524,Disease or Syndrome|Functional Concept|Pathologic Function|Temporal Concept,Concepts & Ideas|Disorders,arabidopsis information portal,pubmed,C0162741|C0205054|C1533716,Body Location or Region|Idea or Concept|Plant,Anatomy|Concepts & Ideas|Living Beings,1
CRIT,compartmental radioimmunotherapy,pubmed,C0085101|C1185625|C1382196|C2986730,Intellectual Product|Natural Phenomenon or Process|Spatial Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Phenomena|Procedures,critical dl,pubmed,C1511545|C3642216,Qualitative Concept|Quantitative Concept,Concepts & Ideas,1
BZDP,benzodiazepines,pubmed,C0005064|C4048284,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,benzodiazepine,pubmed,C0005064|C3536850|C4048284,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,1
HAS,hyperbranched amine polymers,pubmed,C0002508|C0032521|C1879694,Biomedical or Dental Material|Chemical Viewed Structurally|Organic Chemical,Chemicals & Drugs,ha synthases|ha synthase,pubmed,C0018510|C0132555|C4285347|C4522001,"Amino Acid, Peptide, or Protein|Enzyme|Geographic Area|Immunologic Factor|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas|Geographic Areas,1
WEED,marijuana abuse,umls,C0024809,Mental or Behavioral Dysfunction,Disorders,bhang,umls,C0005337,Plant,Living Beings,1
IK,interactive key,pubmed,C1704675,Functional Concept,Concepts & Ideas,inhibition of wholecell k currents,pubmed,C0021467|C0021469|C0521116|C0597277|C1628982|C1708601|C3463820,"Activity|Element, Ion, or Isotope|Mental Process|Molecular Function|Pharmacologic Substance|Quantitative Concept|Temporal Concept",Activities & Behaviors|Chemicals & Drugs|Concepts & Ideas|Physiology,1
FFP,farfield pacing,pubmed,C0562458,Individual Behavior,Activities & Behaviors,federal financial participation,pubmed,C0376243|C0679823|C2350008|C3853790,Functional Concept|Idea or Concept|Qualitative Concept|Quantitative Concept,Concepts & Ideas,1
UDS,ureadithreitolsodium lauryl sulphate,pubmed,C0058632,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,urine drug screen|urine drug screening|urine drug screens|urinary drug screening,pubmed,C0202274,Laboratory Procedure,Procedures,1
IPRT,indented paragraph reading test,pubmed,C0022885|C0034754|C0039593|C0332467|C0392366|C0456984|C0871028|C1515976|C1705179|C3831328|C4284139|C4318744,Body Location or Region|Classification|Conceptual Entity|Daily or Recreational Activity|Functional Concept|Intellectual Product|Laboratory Procedure|Laboratory or Test Result|Spatial Concept,Activities & Behaviors|Anatomy|Concepts & Ideas|Phenomena|Procedures,intensive preoperative radiotherapy,pubmed,C0034619|C0162425|C0243005|C0445204|C0522510|C1283828|C1522449|C1550453,Biomedical Occupation or Discipline|Idea or Concept|Intellectual Product|Mental Process|Qualitative Concept|Temporal Concept|Therapeutic or Preventive Procedure,Concepts & Ideas|Occupations|Physiology|Procedures,1
DTM,discrete tchebichef moments,pubmed,C0443299,Qualitative Concept,Concepts & Ideas,diffusion tensor model,pubmed,C0012222|C1696141|C3161035|C3274659|C3714583|C3853906,Conceptual Entity|Functional Concept|Intellectual Product|Natural Phenomenon or Process,Concepts & Ideas|Phenomena,1
RIV,radiologicallyguided endovascular,pubmed,C0524425,Body Location or Region,Anatomy,ramus interventricularis ventralis,pubmed,C3538818,"Body Part, Organ, or Organ Component",Anatomy,1
FNP,facial nerve paresis,pubmed,C0221338|C4082296,Disease or Syndrome,Disorders,food and nutrition policy,pubmed,C0016452|C0242888|C3540798,Food|Immunologic Factor|Intellectual Product|Pharmacologic Substance,Chemicals & Drugs|Concepts & Ideas|Objects,1
MAS,morpholino antisense|morpholino antisense oligomers,pubmed,C0935882|C1881903,"Nucleic Acid, Nucleoside, or Nucleotide|Therapeutic or Preventive Procedure",Chemicals & Drugs|Procedures,methanogentoacetogen ratios,pubmed,C0456603|C1610540,Quantitative Concept,Concepts & Ideas,1
TERM,the perinatal decrease pregnancy was prolonged from 22,pubmed,C0032961|C0178795|C0392756|C0439590|C0547047,Organism Function|Qualitative Concept|Quantitative Concept|Temporal Concept,Concepts & Ideas|Physiology,temporary endodontic restorative material,pubmed,C0084704,Biomedical or Dental Material,Chemicals & Drugs,1
GIST,gastrointestinal stroma cell tumors|gastro intestinal stromal tumors|gastrointestinal stroma tumours|gastro intestinal stromal tumor|gastrointestinal stromal tumor|gastrointestinal stroma tumor|gastrointestinal stroma tumors|gastrointestinal stromal tumour|gastrointestinal stromal tumours|gastrointestinal stromal tumors,"umls,pubmed",C0238198,Neoplastic Process,Disorders,gastrointestinal stromal cell tumours,pubmed,C0007634|C0238198|C1413336|C1704653|C1948049,Cell|Gene or Genome|Medical Device|Neoplastic Process|Spatial Concept,Anatomy|Concepts & Ideas|Devices|Disorders|Genes & Molecular Sequences,1
API,atmospheric ionization|atmosphericpressure ionization,pubmed,C0596801,Phenomenon or Process,Phenomena,analytical profile system,pubmed,C0039152|C1979963|C2003903,Functional Concept|Laboratory Procedure|Occupational Activity,Activities & Behaviors|Concepts & Ideas|Procedures,1
PATI,preanalytical time interval,pubmed,C0872291,Temporal Concept,Concepts & Ideas,psychological assessment as a therapeutic intervention,pubmed,C0087111|C0204452|C0808232,Diagnostic Procedure|Therapeutic or Preventive Procedure,Procedures,1
BRMC,brain meprobamate concentration,pubmed,C0006104|C0025386|C0086045|C1446561|C3827302,"Body Part, Organ, or Organ Component|Intellectual Product|Mental Process|Organic Chemical|Pharmacologic Substance|Quantitative Concept",Anatomy|Chemicals & Drugs|Concepts & Ideas|Physiology,bristol regional medical center,pubmed,C0199168|C0205147|C0205276|C0205476|C0558281|C0565990|C1947913,Functional Concept|Health Care Activity|Health Care Related Organization|Manufactured Object|Spatial Concept,Concepts & Ideas|Objects|Organizations|Procedures,1
TSB,typespecific blood,pubmed,C0005767|C0005768|C0229664,Body Substance,Anatomy,ts primer was biotinylated,pubmed,C0041388|C0206415|C0525026,"Geographic Area|Laboratory Procedure|Nucleic Acid, Nucleoside, or Nucleotide",Chemicals & Drugs|Geographic Areas|Procedures,1
HNE,high levels of active neutrophil elastase,pubmed,C0064833|C0205177|C0443467|C1414369|C3853793|C3888249|C4321237|C4551701,"Amino Acid, Peptide, or Protein|Enzyme|Finding|Gene or Genome|Idea or Concept|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas|Disorders|Genes & Molecular Sequences,heparinextracted ne,pubmed,C0027608|C0028219|C3538705,"Element, Ion, or Isotope|Gene or Genome|Geographic Area",Chemicals & Drugs|Genes & Molecular Sequences|Geographic Areas,1
AVP,ifnar1 wt allele,umls,C1708407,Gene or Genome,Genes & Molecular Sequences,a novel vasopressin,pubmed,C0042413|C0205314|C0679622|C1098706|C1705480,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Hormone|Intellectual Product|Pharmacologic Substance|Qualitative Concept",Chemicals & Drugs|Concepts & Ideas,1
ALT,atypical lipoma,umls,C0205823|C1266129,Neoplastic Process,Disorders,antibiotic lock therapy,"umls,pubmed",C4553172,Therapeutic or Preventive Procedure,Procedures,1
RPB,regular polygon beam,pubmed,C0205272|C0338248|C2347622|C2347880|C4521565,Organic Chemical|Pharmacologic Substance|Phenomenon or Process|Qualitative Concept|Spatial Concept|Therapeutic or Preventive Procedure,Chemicals & Drugs|Concepts & Ideas|Phenomena|Procedures,radially polarized beams,pubmed,C0338248|C0442038|C0920847|C0946292|C1709587|C2347880|C4521565,Clinical Attribute|Conceptual Entity|Medical Device|Organic Chemical|Pharmacologic Substance|Phenomenon or Process|Therapeutic or Preventive Procedure,Chemicals & Drugs|Concepts & Ideas|Devices|Phenomena|Physiology|Procedures,1
REQ,request,pubmed,C1272683|C1522634,Activity|Intellectual Product,Activities & Behaviors|Concepts & Ideas,retinoid equivalents,pubmed,C0035339|C0439185|C3536891|C4049980,Organic Chemical|Pharmacologic Substance|Qualitative Concept|Quantitative Concept,Chemicals & Drugs|Concepts & Ideas,1
STRAW,stroke translational research advancement workshop,pubmed,C0038454|C0242262|C0441478|C0677507|C3494163|C4554100,Disease or Syndrome|Educational Activity|Finding|Functional Concept|Manufactured Object|Research Activity,Concepts & Ideas|Disorders|Objects|Procedures,straw device,umls,C0025080|C0699733|C4047917|C4321400,Manufactured Object|Medical Device|Organic Chemical|Quantitative Concept,Chemicals & Drugs|Concepts & Ideas|Devices|Objects,1
TENT,tent  recreation equipment,umls,C0677506,Manufactured Object,Objects,tetanus toxin light chain subunit,pubmed,C0023693|C0039617|C0337112|C0599220|C1306462|C1524075|C1570446|C1711351|C1881376|C3842678|C4050248|C4319934|C4521367,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Finding|Functional Concept|Gene or Genome|Hazardous or Poisonous Substance|Idea or Concept|Intellectual Product|Manufactured Object|Medical Device|Natural Phenomenon or Process|Pharmacologic Substance|Qualitative Concept|Quantitative Concept",Chemicals & Drugs|Concepts & Ideas|Devices|Disorders|Genes & Molecular Sequences|Objects|Phenomena,1
PRNS,pattern and usage of as required neuroleptics,pubmed,C0040615|C0449774|C1514873|C1524063,Functional Concept|Pharmacologic Substance|Spatial Concept,Chemicals & Drugs|Concepts & Ideas,pr and nutritional support,pubmed,C0242739|C0279759|C0279766|C1418864|C3538934|C3538935|C3889640|C4048189|C4082178|C4082184|C4085573|C4552913|C4552914,"Amino Acid, Peptide, or Protein|Cell Component|Functional Concept|Gene or Genome|Intellectual Product|Laboratory Procedure|Laboratory or Test Result|Receptor|Therapeutic or Preventive Procedure",Anatomy|Chemicals & Drugs|Concepts & Ideas|Genes & Molecular Sequences|Phenomena|Procedures,1
OWEN,of a false killer whale pseudorca crassidens,pubmed,C0325138,Mammal,Living Beings,owen,umls,C4264357,Intellectual Product,Concepts & Ideas,1
IART,intraatrial reentrant tachycardias|intraatrial reentry tachycardias,pubmed,C0039231|C3845238,Finding,Disorders,induced acrosome reaction test,pubmed,C0022885|C0039593|C0205263|C0392366|C0456984|C0600485|C1515976|C3831328|C4318744,Body Location or Region|Cell Function|Classification|Functional Concept|Intellectual Product|Laboratory Procedure|Laboratory or Test Result,Anatomy|Concepts & Ideas|Phenomena|Physiology|Procedures,1
LH,low frequency bandhigh frequency band ratio,pubmed,C0175723|C0205213|C0439645|C0456603|C1521913|C1547037,Cell Component|Intellectual Product|Medical Device|Quantitative Concept|Spatial Concept|Temporal Concept,Anatomy|Concepts & Ideas|Devices,plod1 gene,umls,C1538681,Gene or Genome,Genes & Molecular Sequences,1
ASLO,antistreptococcal lysine o,pubmed,C0024337|C0523760,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Laboratory Procedure|Pharmacologic Substance",Chemicals & Drugs|Procedures,antibodies to streptolysino,pubmed,C0003241,"Amino Acid, Peptide, or Protein|Immunologic Factor|Pharmacologic Substance",Chemicals & Drugs,1
PERIV,periventricular nucleus,pubmed,C0003741,"Body Part, Organ, or Organ Component",Anatomy,periventricular area,pubmed,C0017446|C0205146,Geographic Area|Spatial Concept,Concepts & Ideas|Geographic Areas,1
MNT,modified neer test,pubmed,C0022885|C0039593|C0392366|C0392747|C0456984|C1515976|C3831328|C3889737|C4318744,Body Location or Region|Classification|Functional Concept|Intellectual Product|Laboratory Procedure|Laboratory or Test Result|Temporal Concept,Anatomy|Concepts & Ideas|Phenomena|Procedures,minuscule tract,pubmed,C1185740,"Body Part, Organ, or Organ Component",Anatomy,1
HXE,hx and apoe doubleknockout mice,pubmed,C0003595|C0025914|C0025929|C0026809|C0262926|C0523511|C1412481|C3814444,"Amino Acid, Peptide, or Protein|Biologically Active Substance|Finding|Gene or Genome|Laboratory Procedure|Mammal",Chemicals & Drugs|Disorders|Genes & Molecular Sequences|Living Beings|Procedures,hematoxylin and eosin,pubmed,C0014448|C0018964|C0885297,"Chemical Viewed Functionally|Indicator, Reagent, or Diagnostic Aid|Organic Chemical|Pharmacologic Substance",Chemicals & Drugs,1
CBF,cinobufagin,pubmed,C0055767,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,cerebral bf,pubmed,C0004683|C0006409|C1824728,Gene or Genome|Geographic Area,Genes & Molecular Sequences|Geographic Areas,1
GIN,gin,"umls,pubmed",C0452241,Food,Objects,gingerol,pubmed,C0061267,Organic Chemical|Pharmacologic Substance,Chemicals & Drugs,1
ADD,aortic dissection detection,pubmed,C0340643|C1511790,Pathologic Function|Therapeutic or Preventive Procedure,Disorders|Procedures,ad with depressive syndrome,pubmed,C0086133|C1843013,Disease or Syndrome|Mental or Behavioral Dysfunction,Disorders,1
NAPD,nonaffective psychotic disorder|nonaffective psychotic disorders,pubmed,C0033975,Mental or Behavioral Dysfunction,Disorders,narcissistic personality disorder,pubmed,C0027402,Mental or Behavioral Dysfunction,Disorders,1
BRAT,brief skin cancer risk assessment tool,pubmed,C0596244|C1282927|C1879313|C4050216|C4050461,Intellectual Product|Qualitative Concept|Quantitative Concept|Temporal Concept,Concepts & Ideas,brain tumor|brain tumour,pubmed,C0006118,Neoplastic Process,Disorders,1
NURSE,nurse sometimes instead of a physician,pubmed,C0028661|C0031831|C0804815|C1998882,Clinical Attribute|Professional or Occupational Group|Temporal Concept,Concepts & Ideas|Living Beings|Physiology,nursing to identify literature that examined the role of,pubmed,C0006147|C0020792|C0023866|C0028677|C0028678|C0034036|C0035820|C0040363|C0041260|C0205396|C0332128|C1705810|C1883351|C3871154,"Amino Acid, Peptide, or Protein|Biomedical Occupation or Discipline|Enzyme|Finding|Geographic Area|Intellectual Product|Manufactured Object|Mental Process|Organism Function|Qualitative Concept|Social Behavior|Therapeutic or Preventive Procedure",Activities & Behaviors|Chemicals & Drugs|Concepts & Ideas|Disorders|Geographic Areas|Objects|Occupations|Physiology|Procedures,1
UN,uranium mononitride,pubmed,C0041928,"Element, Ion, or Isotope",Chemicals & Drugs,understand host citizens,pubmed,C0162340|C0682134|C1167395,Mental Process|Organism|Population Group,Living Beings|Physiology,1
PHI,phosphorus harvest index,pubmed,C0031705|C0080014|C0600653|C0918012|C1512335|C1552854|C1637833|C2986546|C3714498,"Diagnostic Procedure|Element, Ion, or Isotope|Health Care Activity|Idea or Concept|Intellectual Product|Pharmacologic Substance|Quantitative Concept",Chemicals & Drugs|Concepts & Ideas|Procedures,phenytoin,pubmed,C0031507|C0202454,Laboratory Procedure|Organic Chemical|Pharmacologic Substance,Chemicals & Drugs|Procedures,1
ASCR,ascorbyl radicals,pubmed,C0074309,Organic Chemical,Chemicals & Drugs,autologous stemcell reinfusion,pubmed,C0038250|C0439859|C0854643|C4522170,Cell|Pharmacologic Substance|Qualitative Concept|Therapeutic or Preventive Procedure,Anatomy|Chemicals & Drugs|Concepts & Ideas|Procedures,1
NICM,noninfectious comorbidities,pubmed,C0009488|C0521118,Finding|Functional Concept,Concepts & Ideas|Disorders,nonionic contrast medium,pubmed,C0009924,"Indicator, Reagent, or Diagnostic Aid",Chemicals & Drugs,1
HCY,hard core yukawa,pubmed,C0018599|C0444669|C1167518|C1706352|C1882467|C3274653,Body Substance|Cell Component|Manufactured Object|Medical Device|Qualitative Concept|Spatial Concept,Anatomy|Concepts & Ideas|Devices|Objects,hemocyanin,pubmed,C0018999,"Amino Acid, Peptide, or Protein|Biologically Active Substance",Chemicals & Drugs,1
SCCA,spin coatingcoreduction approach,pubmed,C0449445|C1415347|C1823107,Gene or Genome|Spatial Concept,Concepts & Ideas|Genes & Molecular Sequences,squamous cell cancer of the anus|squamous cell carcinoma of the anus,pubmed,C1412036,Neoplastic Process,Disorders,1
ALEXI,alexia pure,umls,C0002018|C2247561|C2314891,Eukaryote|Mental or Behavioral Dysfunction|Molecular Function,Disorders|Living Beings|Physiology,alexi,umls,C0445425,Intellectual Product,Concepts & Ideas,1
MNR,manufacturers normal range,pubmed,C0086715|C0947322,Intellectual Product|Quantitative Concept,Concepts & Ideas,mean betacell nuclear radius,pubmed,C0034627|C0444504|C0521447|C1306504|C2347634|C2348143|C4554581,"Body Part, Organ, or Organ Component|Qualitative Concept|Quantitative Concept|Spatial Concept",Anatomy|Concepts & Ideas,1
STJ,subtalar joint,pubmed,C0038593,Body Space or Junction,Anatomy,subtalar joint complex,pubmed,C0038593|C0439855|C1704241,Body Space or Junction|Chemical Viewed Structurally|Qualitative Concept,Anatomy|Chemicals & Drugs|Concepts & Ideas,1
ARVIN,ancrod,umls,C0002823,"Amino Acid, Peptide, or Protein|Enzyme|Pharmacologic Substance",Chemicals & Drugs,annotation of regulatory variants using integrated networks,pubmed,C0205419|C0220905|C1158478|C1524063|C1704735|C1705422|C1706814|C1882071|C3539095,Conceptual Entity|Functional Concept|Genetic Function|Intellectual Product|Machine Activity|Qualitative Concept|Regulation or Law,Activities & Behaviors|Concepts & Ideas|Physiology,1
LEMS,liquid emulsion membranes,pubmed,C0014020|C0025255|C0259862|C0301571|C0302908|C1304698|C1546699|C1561501|C4520839|C4521998,Biomedical or Dental Material|Chemical Viewed Structurally|Finding|Intellectual Product|Qualitative Concept|Substance|Therapeutic or Preventive Procedure|Tissue,Anatomy|Chemicals & Drugs|Concepts & Ideas|Disorders|Objects|Procedures,lateral eye movements,pubmed,C0015413|C0205093,Physiologic Function|Spatial Concept,Concepts & Ideas|Physiology,1
PURE,pain undergraduate research experience,pubmed,C0237607|C0596545|C0682177|C1518856|C1547185,Idea or Concept|Mental Process|Population Group|Research Activity,Concepts & Ideas|Living Beings|Physiology|Procedures,purine,pubmed,C0034140|C0220903,Organic Chemical,Chemicals & Drugs,1
STP,stimulability training protocol,pubmed,C0040607|C0220931|C0442711|C1507394|C1522729|C1948023|C2348563|C2599718|C2673163|C3715209|C4282383,Educational Activity|Finding|Intellectual Product|Natural Phenomenon or Process|Qualitative Concept,Concepts & Ideas|Disorders|Phenomena|Procedures,synaptic potentiation,pubmed,C0279023,Therapeutic or Preventive Procedure,Procedures,1
RRMA,rural remote and metropolitan areas|rural remote and metropolitan area,pubmed,C0205157|C0240919|C0443203|C0815251|C1550013,Finding|Spatial Concept,Concepts & Ideas|Disorders,rural remote metropolitan areas,pubmed,C0178837|C0205157|C0240919|C0443203|C0599587|C0815251|C1550013,Finding|Spatial Concept,Concepts & Ideas|Disorders,1
